Type,Volume,Energy,Periodic Boundary Conditions,a_x,a_y,a_z,b_x,b_y,b_z,c_x,c_y,c_z,Model,v0,e0,Bulk_Modulus_GPa
Interpolated,12.072745490981966,-9.111169284959168,,,,,,,,,,,,,,
Interpolated,12.094589178356715,-9.137774708568825,,,,,,,,,,,,,,
Interpolated,12.116432865731465,-9.16416525151073,,,,,,,,,,,,,,
Interpolated,12.138276553106214,-9.190342060270558,,,,,,,,,,,,,,
Interpolated,12.160120240480964,-9.216306281333987,,,,,,,,,,,,,,
Interpolated,12.181963927855714,-9.242059061186689,,,,,,,,,,,,,,
Interpolated,12.203807615230463,-9.267601546314344,,,,,,,,,,,,,,
Interpolated,12.225651302605213,-9.292934883202628,,,,,,,,,,,,,,
Interpolated,12.247494989979963,-9.318060218337214,,,,,,,,,,,,,,
Interpolated,12.269338677354712,-9.34297869820378,,,,,,,,,,,,,,
Interpolated,12.291182364729462,-9.367691469288003,,,,,,,,,,,,,,
Interpolated,12.31302605210421,-9.392199678075555,,,,,,,,,,,,,,
Interpolated,12.33486973947896,-9.416504471052116,,,,,,,,,,,,,,
Interpolated,12.356713426853709,-9.440606994703362,,,,,,,,,,,,,,
Interpolated,12.378557114228459,-9.464508395514967,,,,,,,,,,,,,,
Interpolated,12.400400801603208,-9.488209819972612,,,,,,,,,,,,,,
Interpolated,12.422244488977958,-9.511712414561968,,,,,,,,,,,,,,
Interpolated,12.444088176352707,-9.53501732576871,,,,,,,,,,,,,,
Interpolated,12.465931863727457,-9.558125700078518,,,,,,,,,,,,,,
Interpolated,12.487775551102207,-9.581038683977066,,,,,,,,,,,,,,
Interpolated,12.509619238476956,-9.603757425341815,,,,,,,,,,,,,,
Interpolated,12.531462925851706,-9.62628311518506,,,,,,,,,,,,,,
Interpolated,12.553306613226455,-9.648616994922332,,,,,,,,,,,,,,
Interpolated,12.575150300601205,-9.670760308825677,,,,,,,,,,,,,,
Interpolated,12.596993987975955,-9.692714301167149,,,,,,,,,,,,,,
Interpolated,12.618837675350704,-9.71448021621878,,,,,,,,,,,,,,
Interpolated,12.640681362725454,-9.736059298252625,,,,,,,,,,,,,,
Interpolated,12.662525050100204,-9.757452791540732,,,,,,,,,,,,,,
Interpolated,12.684368737474951,-9.778661940355143,,,,,,,,,,,,,,
Interpolated,12.706212424849703,-9.799687988967909,,,,,,,,,,,,,,
Interpolated,12.72805611222445,-9.820532181651071,,,,,,,,,,,,,,
Interpolated,12.7498997995992,-9.841195762676682,,,,,,,,,,,,,,
Interpolated,12.77174348697395,-9.861679976316783,,,,,,,,,,,,,,
Interpolated,12.7935871743487,-9.881986066843425,,,,,,,,,,,,,,
Interpolated,12.81543086172345,-9.902115278528651,,,,,,,,,,,,,,
Interpolated,12.837274549098199,-9.922068855644508,,,,,,,,,,,,,,
Interpolated,12.859118236472948,-9.941848042463045,,,,,,,,,,,,,,
Interpolated,12.880961923847698,-9.961454083256305,,,,,,,,,,,,,,
Interpolated,12.902805611222448,-9.980888222296336,,,,,,,,,,,,,,
Interpolated,12.924649298597197,-10.000151703855188,,,,,,,,,,,,,,
Interpolated,12.946492985971947,-10.019245772204902,,,,,,,,,,,,,,
Interpolated,12.968336673346696,-10.038171671617526,,,,,,,,,,,,,,
Interpolated,12.990180360721446,-10.056930646365108,,,,,,,,,,,,,,
Interpolated,13.012024048096196,-10.075523962621794,,,,,,,,,,,,,,
Interpolated,13.033867735470945,-10.093953288385066,,,,,,,,,,,,,,
Interpolated,13.055711422845693,-10.112220643882381,,,,,,,,,,,,,,
Interpolated,13.077555110220445,-10.130328061270642,,,,,,,,,,,,,,
Interpolated,13.099398797595192,-10.14827757270676,,,,,,,,,,,,,,
Interpolated,13.121242484969944,-10.16607121034764,,,,,,,,,,,,,,
Interpolated,13.143086172344692,-10.183711006350185,,,,,,,,,,,,,,
Interpolated,13.164929859719441,-10.201198992871305,,,,,,,,,,,,,,
Interpolated,13.186773547094191,-10.2185372020679,,,,,,,,,,,,,,
Interpolated,13.20861723446894,-10.235727666096881,,,,,,,,,,,,,,
Interpolated,13.23046092184369,-10.252772417115152,,,,,,,,,,,,,,
Interpolated,13.25230460921844,-10.269673487279617,,,,,,,,,,,,,,
Interpolated,13.27414829659319,-10.286432908747182,,,,,,,,,,,,,,
Interpolated,13.295991983967939,-10.303052713674756,,,,,,,,,,,,,,
Interpolated,13.317835671342689,-10.31953493421924,,,,,,,,,,,,,,
Interpolated,13.339679358717438,-10.335881602537542,,,,,,,,,,,,,,
Interpolated,13.361523046092188,-10.352094750786572,,,,,,,,,,,,,,
Interpolated,13.383366733466938,-10.368176411123228,,,,,,,,,,,,,,
Interpolated,13.405210420841687,-10.384128615704418,,,,,,,,,,,,,,
Interpolated,13.427054108216437,-10.399953396687053,,,,,,,,,,,,,,
Interpolated,13.448897795591186,-10.41565278622803,,,,,,,,,,,,,,
Interpolated,13.470741482965934,-10.43122881648426,,,,,,,,,,,,,,
Interpolated,13.492585170340686,-10.446683519612654,,,,,,,,,,,,,,
Interpolated,13.514428857715433,-10.462018877500173,,,,,,,,,,,,,,
Interpolated,13.536272545090185,-10.477236274481859,,,,,,,,,,,,,,
Interpolated,13.558116232464933,-10.492336703031093,,,,,,,,,,,,,,
Interpolated,13.579959919839682,-10.507321148799209,,,,,,,,,,,,,,
Interpolated,13.601803607214432,-10.522190597437529,,,,,,,,,,,,,,
Interpolated,13.623647294589182,-10.536946034597376,,,,,,,,,,,,,,
Interpolated,13.645490981963931,-10.551588445930077,,,,,,,,,,,,,,
Interpolated,13.66733466933868,-10.566118817086958,,,,,,,,,,,,,,
Interpolated,13.68917835671343,-10.580538133719342,,,,,,,,,,,,,,
Interpolated,13.71102204408818,-10.594847381478559,,,,,,,,,,,,,,
Interpolated,13.73286573146293,-10.609047546015928,,,,,,,,,,,,,,
Interpolated,13.75470941883768,-10.62313961298278,,,,,,,,,,,,,,
Interpolated,13.776553106212429,-10.637124568030433,,,,,,,,,,,,,,
Interpolated,13.798396793587179,-10.651003396810218,,,,,,,,,,,,,,
Interpolated,13.820240480961928,-10.664777084973458,,,,,,,,,,,,,,
Interpolated,13.842084168336678,-10.67844661817148,,,,,,,,,,,,,,
Interpolated,13.863927855711427,-10.692012982055605,,,,,,,,,,,,,,
Interpolated,13.885771543086175,-10.705477162277163,,,,,,,,,,,,,,
Interpolated,13.907615230460927,-10.718840144487478,,,,,,,,,,,,,,
Interpolated,13.929458917835674,-10.732102914337869,,,,,,,,,,,,,,
Interpolated,13.951302605210424,-10.745266457479673,,,,,,,,,,,,,,
Interpolated,13.973146292585174,-10.758331759564204,,,,,,,,,,,,,,
Interpolated,13.994989979959923,-10.771299806242792,,,,,,,,,,,,,,
Interpolated,14.016833667334673,-10.784171549696365,,,,,,,,,,,,,,
Interpolated,14.038677354709423,-10.796947670016511,,,,,,,,,,,,,,
Interpolated,14.060521042084172,-10.809628714949898,,,,,,,,,,,,,,
Interpolated,14.082364729458922,-10.822215231360856,,,,,,,,,,,,,,
Interpolated,14.104208416833671,-10.834707766113702,,,,,,,,,,,,,,
Interpolated,14.126052104208421,-10.847106866072755,,,,,,,,,,,,,,
Interpolated,14.14789579158317,-10.85941307810234,,,,,,,,,,,,,,
Interpolated,14.16973947895792,-10.87162694906678,,,,,,,,,,,,,,
Interpolated,14.19158316633267,-10.883749025830394,,,,,,,,,,,,,,
Interpolated,14.21342685370742,-10.895779855257501,,,,,,,,,,,,,,
Interpolated,14.23527054108217,-10.907719984212427,,,,,,,,,,,,,,
Interpolated,14.257114228456917,-10.919569959559489,,,,,,,,,,,,,,
